wallet_address,amount,date
0xd1236a6a111879d9862f8374ba15344b6b233fbd,48.96518304084367,2023-03-29
0xd1236a6a111879d9862f8374ba15344b6b233fbd,-9.794701777433758,2023-03-29
0x78f897f0fe2d3b5690ebae7f19862deacedf10a7,9.794701777433758,2023-03-29
0x52a8305f29f85bec5fa6ee78b87ddd2218d8e12e,11182.31705722884,2023-05-19
0x52a8305f29f85bec5fa6ee78b87ddd2218d8e12e,-11182.31705722884,2023-05-19
0x78f897f0fe2d3b5690ebae7f19862deacedf10a7,11182.31705722884,2023-05-19
0x78f897f0fe2d3b5690ebae7f19862deacedf10a7,-185.38819281571654,2023-05-19
0x52a8305f29f85bec5fa6ee78b87ddd2218d8e12e,185.38819281571654,2023-05-19
0x52a8305f29f85bec5fa6ee78b87ddd2218d8e12e,-1.0,2023-05-19
0x78f897f0fe2d3b5690ebae7f19862deacedf10a7,1.0,2023-05-19
0x910e413dbf3f6276fe8213ff656726bdc142e08e,9.778509297353228,2023-05-22
0x78f897f0fe2d3b5690ebae7f19862deacedf10a7,-4434.482590103192,2023-05-23
0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4,4434.482590103192,2023-05-23
0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4,-4434.482590103192,2023-05-23
0x78f897f0fe2d3b5690ebae7f19862deacedf10a7,-6524.922776905561,2023-05-23
0x52a8305f29f85bec5fa6ee78b87ddd2218d8e12e,6524.922776905561,2023-05-23
0x52a8305f29f85bec5fa6ee78b87ddd2218d8e12e,-6709.310969721277,2023-05-23
0xc02ec7a8a71486461fb1ded5faed5b99023961df,168.31889643992457,2023-06-01
0xc02ec7a8a71486461fb1ded5faed5b99023961df,-168.31889643992457,2023-06-01
0xc02ec7a8a71486461fb1ded5faed5b99023961df,168.31889197881313,2023-06-01
0xc02ec7a8a71486461fb1ded5faed5b99023961df,-1e-15,2023-06-01
0xc02ec7a8a71486461fb1ded5faed5b99023961df,-168.31889197881313,2023-06-04
0x0e60f082aecb4a7b8b6be4657a602c8aaf2e0f0a,87.97126042078466,2023-06-06
0x0e60f082aecb4a7b8b6be4657a602c8aaf2e0f0a,-1.0,2023-06-06
0xc02ec7a8a71486461fb1ded5faed5b99023961df,1.0,2023-06-06
0xc02ec7a8a71486461fb1ded5faed5b99023961df,97.74576164117113,2023-06-06
0x8d07d225a769b7af3a923481e1fdf49180e6a265,977.4566467702632,2023-06-06
0x8d07d225a769b7af3a923481e1fdf49180e6a265,-500.0,2023-06-06
0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,500.0,2023-06-06
0xc911ff57fbf6c7231903d5fabc29bb52bab397c4,324487.0000408849,2023-06-11
0xc911ff57fbf6c7231903d5fabc29bb52bab397c4,-324487.0000408849,2023-06-11
0x7052d6e780435e09901bd73ce280183f40a65459,324487.0000408849,2023-06-11
0x34d90e463310bcb761865d001fe0fd0722567b99,42056.63018135414,2023-06-11
0xc6d92bb6d393e7ca802878e1dbfe548a70bca2ef,3929.423392728223,2023-06-15
0xc6d92bb6d393e7ca802878e1dbfe548a70bca2ef,-3929.423392728223,2023-06-15
0x59a661f1c909ca13ba3e9114bfdd81e5a420705d,9.771836384483638,2023-06-16
0xcd6998d20876155d37aec0db4c19d63eeaef058f,208738.53651896,2023-06-17
